url,cat
https://www.fahorro.com/advil-analgesico-400-mg-20-capsulas.html,Farmacia
https://www.fahorro.com/alka-seltzer-boost-antiacido-y-analgesico-10-tabletas-efervescentes.html,Farmacia
https://www.fahorro.com/alka-seltzer-antiacido-y-analgesico-12-tabletas-efervescentes.html,Farmacia
https://www.fahorro.com/buscanx-dolor-abdominal-24-caps.html,Farmacia
https://www.fahorro.com/sinuberase-probioticos-colitis-20-ampolletas.html,Farmacia
https://www.fahorro.com/vermox-plus-oral-con-2-tabletas.html,Farmacia
https://www.fahorro.com/tylenol-analgesico-40-tabletas-2-pack.html,Farmacia
https://www.fahorro.com/tylenol-analgesico-40-tabletas.html,Farmacia
https://www.fahorro.com/pharmaton-multivitaminico-adultos-30-caps.html,Farmacia
https://www.fahorro.com/tabcin-noche-paracetamol-250-mg-para-las-molestias-de-la-gripe-y-tos-ayuda-a-conciliar-el-sue-o-12-capsulas.html,Farmacia
https://www.fahorro.com/tabcin-active-paracetamol-250-mg-rapido-alivio-para-las-molestias-de-la-gripe-y-tos-12-capsulas.html,Farmacia
https://www.fahorro.com/allegrar-180-mg-antialergico-10-tabs.html,Farmacia
https://www.fahorro.com/aspirina-500-mg-20-tabletas.html,Farmacia
https://www.fahorro.com/motrin-analgesico-suspension-pediatrica-15-ml.html,Farmacia
https://www.fahorro.com/celestone-solucion-ampula-1-ml.html,Farmacia
https://www.fahorro.com/celestone-solucion-ampula-2-ml.html,Farmacia
https://www.fahorro.com/tylenol-analgesico-10-tabletas.html,Farmacia
https://www.fahorro.com/enterogermina-probioticos-12-caps.html,Farmacia
https://www.fahorro.com/neogen-prueba-rapida-sars-cov-2-ag.html,Farmacia
https://www.fahorro.com/enterogermina-probioticos-20-ampolletas-de-5-ml.html,Farmacia
https://www.fahorro.com/floratil-probioticos-200-mg-6-sobres.html,Farmacia
https://www.fahorro.com/floratil-probioticos-200-mg-6-capsulas.html,Farmacia
https://www.fahorro.com/floratil-probioticos-200-mg-oral-12-capsulas.html,Farmacia
https://www.fahorro.com/floratil-250-mg-oral-12-caps.html,Farmacia
https://www.fahorro.com/floratil-probioticos-200-mg-pediatrico-oral-12-sobres.html,Farmacia
